name	modalities	tags	used_in	url	licenses	pii_removal	robots_filtering	version	raw_dir	processed_dir	tokenized_dir	processing_script	tokenization_script	dumps_preparation_script	chunking_script	notes	pocs
Biomed-Enriched_preprocessed	text	pre-training	v1.5	https://huggingface.co/datasets/almanach/Biomed-Enriched	CC-BY-4.0	No	No	9b1768cc85017715dc8e215d1918de129648277d	/capstor/store/cscs/swissai/infra01/datasets/almanach/Biomed-Enriched/data	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/Biomed-Enriched_preprocessed/data	/capstor/store/cscs/swissai/infra01/datasets_tokenized/Biomed-Enriched-preprocessed	https://github.com/swiss-ai/data-pipeline-pretrain/blob/dt/preprocess-scripts/pipelines/biomed_enriched/main.py	https://github.com/swiss-ai/Megatron-LM/blob/dt/LongContext/scripts/tokenization/submit_tokenization_biomed_enriched.sh	https://github.com/swiss-ai/Megatron-LM/blob/dt/LongContext/scripts/tokenization/prepare_dumps_biomed_Enriched.sh	https://github.com/swiss-ai/LongContextQA/tree/main/separation_script
dolma3_olmocr_science_pdfs-preprocessed	text	pre-training	v1.5	https://huggingface.co/datasets/allenai/dolma3_longmino_mix-100B-1125	ODC-BY	No	No	e8ddbf434028358ba58adee6981c31775db930c2	/capstor/store/cscs/swissai/infra01/datasets/allenai/dolma3_longmino_mix-100B-1125	/capstor/store/cscs/swissai/infra01/datasets/swiss-ai/dolma3_olmocr_science_pdfs-preprocessed/data	/capstor/store/cscs/swissai/infra01/datasets_tokenized/dolma3_olmocr_science_pdfs-preprocessed	https://github.com/swiss-ai/data-pipeline-pretrain/tree/dt/preprocess-scripts/pipelines/dolma3	https://github.com/swiss-ai/Megatron-LM/blob/dt/LongContext/scripts/tokenization/submit_tokenization_dolma3_ocr_subset.sh	https://github.com/swiss-ai/Megatron-LM/blob/dt/LongContext/scripts/tokenization/prepare_dumps_dolma3_ocr_subset.sh	https://github.com/swiss-ai/LongContextQA/tree/main/separation_script
hf___ai4ce___EgoPAT3Dv2	image	pre-training	v1.5	https://huggingface.co/datasets/ai4ce/EgoPAT3Dv2	Unknown	No	No	9f20d0b0f6f48022bc2e10c46f219e3b89c44681
imageomics/TreeOfLife-10M	image	pre-training	v1.5	https://huggingface.co/datasets/imageomics/TreeOfLife-10M	Mixed, CC-BY-SA, CC-BY-NC-SA, CC0	No	No	91debffb7146c32c89d76feb1eb575b555e2ecc7
dclure/laion-aesthetics-12m-umap	image	pre-training	v1.5	https://huggingface.co/datasets/dclure/laion-aesthetics-12m-umap	MIT	No	No	06928317703bcfa6099c7fc0f13e11bb295e7769
ServiceNow/BigDocs-7.5M	image	pre-training	v1.5	https://huggingface.co/datasets/ServiceNow/BigDocs-7.5M	CC-BY-4.0	No	No	dae4403c28307bd5328920740e81ce5232819e74
swisstopo/SWISSIMAGE_10cm	image	pre-training	v1.5	https://www.swisstopo.admin.ch/en/orthoimage-swissimage-10#Download	OGD	No	No	Not versioned — Fix release
mlfoundations/MINT-1T	image	pre-training	v1.5	https://github.com/mlfoundations/MINT-1T	CC-BY-4.0	Yes	Yes	2d9ed806777c02b5f6aaa25ec86250df3efe5ef5
mlfoundations/MINT-1T-HTML	image	pre-training	v1.5	https://huggingface.co/datasets/mlfoundations/MINT-1T-HTML/tree/906a8b85cea61198ff7339c4dd711ad0b5361847	CC-BY-4.0	Yes	Yes	906a8b85cea61198ff7339c4dd711ad0b5361847
mlfoundations/MINT-1T-ArXiv	image	pre-training	v1.5	https://huggingface.co/datasets/mlfoundations/MINT-1T-ArXiv/tree/7c5b00ffd5b563071010c3bf2082b4a8f836eb72	CC-BY-4.0	Yes	Yes	7c5b00ffd5b563071010c3bf2082b4a8f836eb72
